UNIVERSITY,ENDOWMENT_NAME,STATE_PROVINCE,ENDOWMENT_2015,ENDOWMENT_2014,MARKET_VALUE_CHANGE,ENDOWMENT_2015_OVERRIDE
"Abilene Christian University","Abilene Christian University","TX",379858,374971,1.3,
"Agnes Scott College","Agnes Scott College","GA",261456,272331,-4,
"Albion College","Albion College","MI",173897,185337,-6.2,
"Albright College","Albright College","PA",64675,65210,-0.8,
"Alfred University","Alfred University","NY",107966,108874,-0.8,
"Allegheny College","Allegheny College","PA",183134,184693,-0.8,
"Alma College","Alma College","MI",114762,116462,-1.5,
"Alverno College","Alverno College","WI",25425,25317,0.4,
"Amarillo College","Amarillo College Foundation","TX",28441,25398,12,
"American Society for Technion-Israel Institute of Technology, Inc.","American Society for Technion-Israel Institute of Technology, Inc.","NY",264664,267604,-1.1,
"American University","American University","DC",600336,587199,2.2,
"American University--Beirut","American University of Beirut","NY",551036,549529,0.3,
"American University--Bulgaria","American University in Bulgaria","DC",25528,25394,0.5,
"American University--Cairo","The American University in Cairo","NY",522325,540079,-3.3,
"Amherst College","Amherst College","MA",2193511,2149203,2.1,
"Antioch University","Antioch University","OH",9805,9553,2.6,
"Appalachian State University","Appalachian State University & Foundation","NC",93775,93775,2.6,93775
"Arcadia University","Arcadia University","PA",66778,68345,-2.3,
"Arizona State University","Arizona State University & Foundation","AZ",643188,625833,2.8,398777
"Arkansas State University","Arkansas State University Foundation, Inc.","AR",54902,51908,5.8,
"Art Center College of Design","Art Center College of Design","CA",86609,85148,1.7,
"Asbury Theological Seminary","Asbury Theological Seminary","KY",152464,153105,-0.4,
"Assumption College","Assumption College","MA",101064,100767,0.3,
"Auburn University","Auburn University & Foundation","AL",641993,621106,3.4,583049
"Augsburg College","Augsburg College","MN",40464,38330,5.6,
"Augustana College","Augustana College","IL",145454,144374,0.7,
"Augustana University","Augustana University","SD",71733,70771,1.4,
"Austin College","Austin College","TX",134746,135769,-0.8,
"Austin Presbyterian Theological Seminary","Austin Presbyterian Theological Seminary","TX",122062,120371,1.4,
"Babson College","Babson College","MA",345242,329834,4.7,
