University,Enrollment,Endowment Thousands $,Athletic Expenditures $,EEE Rank
"Ohio State University--Main Campus","      40,452","   3,633,887"," 136,966,818",1
"University of Texas--Austin","      36,072","   3,341,835"," 152,853,239",2
"Pennsylvania State University--Main Campus","      39,077","   3,635,730"," 117,818,050",3
"University of Michigan--Ann Arbor","      27,297","   9,952,113"," 131,003,957",3
"University of Wisconsin--Madison","      27,867","   2,465,051"," 122,975,876",5
"University of Florida","      29,577","   1,550,000"," 130,772,416",6
"Michigan State University","      35,038","   2,274,813","  89,491,630",7
"University of Washington--Seattle Campus","      27,733","   3,076,226","  88,580,078",8
"University of California--Los Angeles","      29,027","   1,864,605","  96,912,767",9
"Indiana University--Bloomington","      31,161","   1,974,215","  81,161,423",10
"University of California--Berkeley","      26,320","   7,997,099","  76,348,304",11
"University of Illinois--Urbana--Champaign","      31,312","   1,585,807","  74,469,976",12
"Purdue University--Main Campus","      28,382","   2,397,902","  66,164,834",13
"University of Southern California","      17,898","   4,709,511"," 105,919,366",14
"University of Georgia","      25,259","   1,004,987"," 101,559,307",15
"University of Alabama--Tuscaloosa","      27,331","     668,000"," 120,528,937",16
"University of Kentucky","      20,513","   1,142,722"," 109,874,179",16
"University of Tennessee--Knoxville","      20,178","   1,106,924"," 108,735,063",18
"University of Oklahoma--Norman","      17,711","   1,523,024"," 124,732,244",19
"University of Nebraska--Lincoln","      18,660","   1,538,000","  99,125,587",20
"University of Iowa","      19,375","   1,263,043","  90,436,883",21
"University of Arizona","      29,342","     767,940","  81,039,748",21
"Rutgers University--New Brunswick","      32,272","   1,001,969","  65,125,833",23
"Texas A&M University--College Station","      42,017","     469,000"," 102,776,783",23
"University of North Carolina--Chapel Hill","      17,526","   2,988,806","  85,111,322",25
"Florida State University","      28,933","     605,275","  97,710,146",25
"University of Kansas","      16,995","   1,860,000"," 103,326,170",25
"University of Missouri--Columbia","      25,753","     852,300","  78,235,010",28
"University of Arkansas--Fayetteville","      19,029","     920,600","  99,466,093",29
"University of South Carolina--Columbia","      22,952","     625,186"," 112,732,275",29
"University of Virginia--Main Campus","      14,939","   6,180,515","  85,755,397",29
"University of Pittsburgh--Pittsburgh","      17,627","   3,588,775","  70,527,488",32
"Brigham Young University--Provo","      24,499","   1,470,000","  54,418,408",32
"Virginia Polytechnic Institute and State University","      23,653","     817,759","  78,786,724",34
"Iowa State University","      27,199","     786,205","  65,658,901",35
"Louisiana State University and Agricultural & Mechanical College","      23,089","     502,865"," 121,888,715",35
"North Carolina State University--Raleigh","      21,283","     984,000","  69,850,116",35
"Arizona State University--Tempe","      35,770","     398,777","  83,139,866",38
"Auburn University","      18,746","     583,049"," 111,150,609",38
"Washington State University","      20,771","     885,777","  66,143,776",40
"University of Cincinnati--Main Campus","      20,578","   1,195,899","  42,861,532",40
"West Virginia University","      20,863","     533,599","  87,265,473",42
"Baylor University","      13,577","   1,168,242"," 106,078,643",42
"Oklahoma State University--Main Campus","      18,121","     877,549","  80,196,450",42
"Texas Tech University","      25,531","     661,235","  64,245,380",42
"University of Oregon","      18,654","     719,111","  83,701,926",46
"Stanford University","       7,018","  22,222,957"," 109,668,805",47
"University of Notre Dame","       8,410","   8,566,952"," 100,035,458",47
"University of Houston","      23,595","     794,556","  45,437,943",47
"Virginia Commonwealth University","      19,687","   1,638,147","  29,770,145",50
"University of Colorado--Boulder","      24,148","     525,828","  65,273,310",51
"University of Maryland--College Park","      24,908","     283,123","  84,134,516",52
"Northwestern University","       8,357","  10,193,037","  70,028,074",53
"University of Minnesota--Twin Cities","      27,943","     176,900"," 105,561,601",53
"University of Utah","      16,912","   1,023,044","  62,881,439",53
"Syracuse University","      14,229","   1,166,109","  67,391,194",56
"Georgia Institute of Technology--Main Campus","      13,150","   1,858,977","  63,296,748",56
"University of Louisville","      12,364","     844,288"," 101,624,438",58
"University of Pennsylvania","      10,205","  10,133,569","  44,965,925",58
"Clemson University","      16,529","     648,611","  76,847,626",60
"Boston University","      16,083","   1,644,117","  31,811,509",60
"Duke University","       6,471","   7,296,545","  91,174,723",60
"Oregon State University","      18,002","     505,369","  72,133,762",63
"University of Delaware","      17,458","   1,341,373","  29,470,968",64
"University of Mississippi","      16,418","     606,387","  74,772,140",64
"Boston College","       9,345","   2,219,600","  69,300,736",64
"University of South Florida--Main Campus","      23,434","     417,415","  46,895,838",67
"Kansas State University","      17,956","     488,936","  66,449,920",68
"Temple University","      24,787","     386,230","  39,888,882",69
"Texas Christian University","       8,326","   1,514,296","  80,608,562",69
"Vanderbilt University","       6,775","   4,133,542","  68,615,451",71
"University of Miami","      10,296","     887,329","  76,495,820",71
"University of Connecticut","      17,524","     383,149","  72,036,456",73
"Cornell University","      14,182","   6,037,546","  23,769,031",74
"University of Central Florida","      36,373","     150,627","  46,416,703",75
"San Diego State University","      24,872","     209,372","  44,834,016",76
"University of California--Davis","      26,792","     335,632","  26,854,798",77
"University of Massachusetts--Amherst","      20,551","     307,100","  33,121,307",78
"George Washington University","       9,738","   1,616,357","  29,374,668",79
"Colorado State University--Fort Collins","      20,132","     281,355","  37,223,186",79
"Yale University","       5,467","  25,572,100","  38,227,149",81
"Mississippi State University","      14,561","     449,106","  62,145,115",81
"Columbia University in the City of New York","       7,496","   9,639,065","  27,530,941",83
"Southern Methodist University","       6,189","   1,505,296","  55,349,010",84
"University of New Mexico--Albuquerque","      16,121","     403,670","  33,278,566",85
"Georgetown University","       7,001","   1,528,869","  33,666,439",85
"Ohio University--Main Campus","      16,986","     506,989","  27,110,443",87
"Miami University--Oxford","      15,029","     460,280","  30,922,719",88
"East Carolina University","      18,796","     170,015","  48,743,915",88
"Harvard University","       6,874","  36,448,817","  24,140,292",88
"Tulane University of Louisiana","       6,214","   1,220,464","  41,004,900",91
"Florida International University","      25,340","     177,000","  28,179,670",91
"Northeastern University","      13,492","     729,400","  26,480,165",93
"University of Nevada--Las Vegas","      17,340","     238,300","  39,028,683",93
"University of Illinois--Chicago","      15,397","   2,278,000","  15,951,743",93
"Rice University","       3,843","   5,557,479","  37,693,040",96
"Wake Forest University","       4,803","   1,167,400","  57,865,117",97
"University of California--Irvine","      24,127","     512,904","  17,377,375",97
"Western Michigan University","      15,581","     330,052","  29,505,180",99
"Princeton University","       5,258","  22,723,473","  25,517,530",100
"California State University--Fresno","      17,718","     165,962","  41,376,278",101
"DePaul University","      13,578","     438,193","  27,879,612",102
"Old Dominion University","      15,214","     209,417","  38,273,927",103
"Utah State University","      15,728","     314,688","  27,783,677",103
"Fordham University","       8,034","     665,532","  31,963,111",105
"Dartmouth College","       4,184","   4,663,491","  27,345,619",106
"Drexel University","      14,346","     668,386","  21,057,562",106
"Lehigh University","       4,963","   1,213,207","  31,403,995",106
"University of Hawaii--Manoa","      11,479","     280,200","  41,919,019",109
"University of Toledo","      12,699","     422,249","  27,449,095",110
"University of North Texas","      23,762","     143,400","  24,226,523",110
"University of Akron","      15,078","     198,330","  32,751,124",112
"College of William and Mary","       6,210","     811,217","  30,041,003",112
"University of Texas--San Antonio","      20,086","     125,000","  27,119,411",114
"University of Wyoming","       8,272","     445,273","  33,823,504",114
"Marquette University","       8,044","     551,558","  28,659,693",114
"Villanova University","       6,539","     553,859","  37,541,206",114
"San Jose State University","      21,278","     120,045","  26,399,998",114
"University of New Hampshire--Durham","      12,306","     346,926","  27,876,605",119
"University of North Carolina--Charlotte","      18,982","     179,380","  23,771,548",120
"Brown University","       6,241","   3,073,349","  19,760,270",120
"University of Alabama--Birmingham","       8,416","     424,500","  30,590,262",120
"Georgia State University","      18,839","     135,418","  26,536,711",120
"University of Nevada--Reno","      13,856","     306,587","  26,224,834",120
"University of Tulsa","       3,341","   1,037,169","  40,329,852",120
"James Madison University","      17,970","      81,948","  38,832,659",126
"Central Michigan University","      17,860","     109,847","  28,651,564",127
"University of Richmond","       2,963","   2,371,810","  26,951,928",128
"Kent State University--Kent","      18,539","     115,917","  25,680,722",129
"Stony Brook University","      15,143","     247,397","  22,534,106",130
"University of California--Santa Barbara","      19,913","     265,930","  15,476,104",130
"California Polytechnic State University--San Luis Obispo","      18,517","     194,700","  19,220,388",132
"College of Charleston","       9,520","     717,000","  18,421,049",132
"Ball State University","      14,913","     192,711","  25,495,670",134
"University of Dayton","       7,883","     500,407","  24,177,246",135
"Saint Louis University","       7,003","   1,093,348","  17,402,473",136
"Illinois State University","      16,968","     102,658","  26,201,435",137
"University of Massachusetts--Lowell","       9,297","     770,222","  15,987,852",137
"New Mexico State University--Main Campus","      10,570","     221,005","  25,442,737",139
"Northern Arizona University","      19,166","     144,211","  17,970,911",139
"University of Texas--El Paso","      13,002","     151,200","  25,245,582",141
"University of Vermont","       9,601","     441,000","  18,005,469",141
"Indiana University--Purdue University--Indianapolis","      17,119","     601,000","   9,292,241",141
"California State University--Long Beach","      27,093","      57,191","  17,674,192",144
"University of Missouri--Kansas City","       6,606","   1,120,000","  13,682,310",145
"University of San Diego","       5,491","     469,984","  23,107,612",145
"Quinnipiac University","       6,335","     367,875","  24,224,911",145
"Colgate University","       2,863","     892,231","  23,149,523",145
"University of Louisiana--Lafayette","      12,487","     185,800","  20,953,370",149
"Bucknell University","       3,522","     789,354","  22,818,763",149
"Santa Clara University","       5,356","     884,746","  17,083,348",149
"College of the Holy Cross","       2,754","     721,310","  25,700,157",152
"Appalachian State University","      15,238","      93,775","  22,237,056",153
"Loyola Marymount University","       5,899","     437,792","  22,181,428",153
"University of Rhode Island","      12,025","     131,655","  24,028,080",153
"George Mason University","      17,713","      72,245","  21,254,390",156
"Loyola University Chicago","       9,206","     542,909","  13,804,744",156
"University of Wisconsin--Milwaukee","      18,448","     201,000","  12,648,626",156
"Hofstra University","       6,430","     413,872","  20,907,302",159
"Furman University","       2,690","     631,397","  25,940,883",160
"Bowling Green State University--Main Campus","      12,901","     118,700","  21,823,056",161
"North Dakota State University--Main Campus","      10,772","     133,978","  22,268,430",162
"Western Kentucky University","      13,042","      15,843","  30,212,548",163
"Southern Illinois University--Carbondale","      11,621","     121,000","  22,163,385",164
"Towson University","      16,503","      71,000","  21,013,416",164
"Northern Illinois University","      13,467","      71,155","  25,198,225",164
"University of Idaho","       7,607","     239,603","  18,850,411",167
"Providence College","       3,705","     213,000","  29,250,277",168
"Pepperdine University","       3,122","     805,154","  17,973,084",168
"California State University--Fullerton","      26,685","      51,900","  13,254,628",170
"Seton Hall University","       5,337","     260,828","  23,097,474",170
"University of Montana--Missoula","       9,164","     172,756","  18,904,736",170
"Elon University","       5,638","     211,405","  23,144,739",173
"University of San Francisco","       6,474","     314,337","  17,886,377",173
"Creighton University","       3,835","     449,443","  19,936,428",175
"University of California--Riverside","      18,439","     132,635","  11,686,768",175
"American University","       6,886","     600,336","  12,716,529",175
"University of Wisconsin--Green Bay","       4,197","   2,465,051","   8,516,931",178
"Lafayette College","       2,446","     777,553","  18,350,393",179
"University of Maine--Orono","       7,986","     185,613","  18,072,142",180
"University of Southern Mississippi","      10,576","      82,873","  21,356,348",180
"Howard University","       6,509","     659,630","  11,615,298",182
"Duquesne University","       5,743","     296,807","  17,899,626",182
"Montana State University","      11,072","     127,431","  17,335,624",184
"University of North Carolina--Greensboro","      12,615","     248,591","  11,594,095",184
"University of the Pacific","       3,709","     385,014","  20,281,765",186
"Sam Houston State University","      13,552","      97,510","  14,836,602",187
"Saint Joseph's University","       4,664","     215,905","  19,845,795",187
"Missouri State University--Springfield","      13,995","      73,663","  16,164,205",187
"Portland State University","      13,914","      84,700","  15,043,828",187
"Gonzaga University","       4,693","     185,647","  21,665,439",191
"Bethune-Cookman University","       3,693","     541,900","  14,733,705",192
"University of Texas--Arlington","      15,925","     127,300","  11,106,934",193
"University of Northern Iowa","       9,066","     109,151","  17,164,416",194
"SUNY--Albany","      12,095","      49,000","  18,446,983",195
"Fairfield University","       3,685","     317,035","  17,793,465",195
"SUNY--Binghamton","      12,906","      96,513","  13,981,983",195
"Georgia Southern University","      15,793","      49,003","  14,479,550",198
"Louisiana Tech University","       6,556","      92,000","  21,345,370",199
"University of North Dakota","       9,039","      14,251","  23,977,642",200
"University of North Carolina--Wilmington","      11,632","      88,118","  13,983,617",201
"University of Denver","       5,297","      46,700","  27,598,944",202
"Bradley University","       4,370","     283,181","  14,170,617",202
"South Dakota State University","       8,592","     104,903","  14,665,347",202
"Davidson College","       1,765","     682,500","  13,348,176",202
"Loyola University Maryland","       4,027","     206,254","  17,435,081",206
"Butler University","       4,028","     184,015","  18,126,182",206
"Seattle University","       4,223","     210,600","  15,447,988",208
"Oakland University","      12,407","      77,201","  12,880,196",208
"Mercer University","       3,736","     256,900","  15,147,341",208
"Xavier University","       4,239","     156,378","  17,711,141",211
"University of Maryland--Baltimore County","       9,641","      75,000","  14,174,745",212
"University of North Florida","       9,812","      98,307","  11,165,171",213
"Tennessee Technological University","       9,259","      71,976","  13,552,960",214
"Drake University","       3,175","     196,490","  15,878,970",215
"Monmouth University","       4,365","      79,216","  19,629,472",215
"Valparaiso University","       3,128","     204,314","  15,042,481",217
"University of South Dakota","       4,853","     213,562","  11,440,884",218
"Stetson University","       2,787","     208,878","  15,622,793",218
"Bryant University","       3,232","     170,101","  15,996,391",220
"Virginia Military Institute","       1,700","     393,621","  13,022,018",221
"Citadel Military College of South Carolina","       2,531","     254,324","  14,403,113",221
"University of Portland","       3,608","     140,200","  15,785,045",223
"Southeast Missouri State University","       7,918","      76,770","  11,877,821",224
"Wofford College","       1,643","     184,708","  17,047,400",224
"Hampton University","       3,262","     263,237","  11,197,453",226
"Eastern Illinois University","       6,672","      76,337","  12,747,144",227
"Western Illinois University","       8,607","      42,469","  12,926,201",227
"Saint Mary's College of California","       2,698","     170,105","  14,868,965",227
"Radford University","       8,486","      52,533","  11,735,726",230
"Central Connecticut State University","       7,679","      63,000","  12,295,193",231
"Belmont University","       5,420","     102,380","  12,370,799",231
"Murray State University","       7,227","      66,787","  12,170,207",233
"New Jersey Institute of Technology","       5,855","      99,257","  10,487,522",234
"Western Carolina University","       7,344","      67,831","  11,222,113",234
"University of Arkansas--Little Rock","       4,665","     136,000","   9,635,863",236
"Saint Peter's University","       2,163","     310,500","   7,341,250",237
"La Salle University","       3,560","      87,982","  14,325,653",237
"Southern Illinois University--Edwardsville","       9,696","      20,447","   8,784,609",239
"North Carolina A&T State University","       8,315","      48,100","  10,857,661",239
"Siena College","       2,984","     138,820","  12,455,465",241
"Tennessee State University","       5,667","      51,416","  12,831,317",242
"Robert Morris University","       3,966","      31,763","  16,495,566",242
"Samford University","       2,909","      25,950","  18,493,564",244
"Marist College","       4,872","      22,000","  13,407,883",245
"Presbyterian College","       1,026","      95,478","  13,558,234",246
"Canisius College","       2,700","     108,878","  11,578,886",247
"North Carolina Central University","       4,919","      27,098","  11,715,488",247
"Rider University","       3,771","      58,326","  12,627,530",247
"Manhattan College","       3,276","      74,868","  11,582,995",250
"Wagner College","       1,762","      80,423","  13,203,094",250
"Lipscomb University","       2,581","      70,471","  13,459,966",250
"High Point University","       4,165","      48,317","  11,660,963",250
"Winthrop University","       4,408","      43,072","  10,995,874",254
"Niagara University","       2,818","      95,197","  10,176,175",254
"Longwood University","       4,178","      55,467","  10,010,168",256
"Jackson State University","       5,956","      16,573","   6,420,982",256
"Saint Francis University","       1,568","      45,254","  14,621,890",258
"University of Evansville","       2,214","      84,919","  10,908,532",259
"St. Francis College","       2,413","      74,618","   5,893,879",260
"St. Bonaventure University","       1,718","      60,297","   9,774,664",261
"University of North Carolina--Asheville","       3,093","      40,082","   5,777,899",262
"South Carolina State University","       2,581","       7,647","   8,790,267",263
"Alcorn State University","       2,570","      12,926","   6,708,746",264
