RANK,NAME,LOCATION
1,Princeton University,"Princeton, NJ"
2,University of Michigan--Ann Arbor,"Ann Arbor, MI"
3,Harvard University,"Cambridge, MA"
4,Rice University,"Houston, TX"
5,University of California--Berkeley,"Berkeley, CA"
5,Brigham Young University--Provo,"Provo, UT"
7,Amherst College,"Amherst, MA"
8,Cooper Union for the Advancement of Science and Art,"New York, NY"
9,University of Virginia,"Charlottesville, VA"
10,Stanford University,"Stanford, CA"
11,Massachusetts Institute of Technology,"Cambridge, MA"
12,Yale University,"New Haven, CT"
13,Texas A&M University--College Station,"College Station, TX"
14,University of California-San Diego,"La Jolla, CA"
15,University of Florida,"Gainesville, FL"
16,University of California--Irvine,"Irvine, CA"
17,University of California--Davis,"Davis, CA"
18,Virginia Tech,"Blacksburg, VA"
19,University of Maryland--College Park,"College Park, MD"
20,University of California--Los Angeles,"Los Angeles, CA"
21,Clemson University,"Clemson, SC"
22,University of Illinois--Urbana--Champaign,"Champaign, IL"
22,Pomona College,"Claremont, CA"
24,California Institute of Technology,"Pasadena, CA"
25,Saint Johns University,"Collegeville, MN"
26,University of Pennsylvania,"Philadelphia, PA"
27,Vanderbilt University,"Nashville, TN"
28,Earlham College,"Richmond, IN"
29,Washington and Lee University,"Lexington, VA"
30,University of Washington,"Seattle, WA"
31,Brown University,"Providence, RI"
31,University of Notre Dame,"Notre Dame, IN"
33,Dartmouth College,"Hanover, NH"
34,Wellesley College,"Wellesley, MA"
35,Georgia Institute of Technology,"Atlanta, GA"
36,College of William and Mary,"Williamsburg, VA"
37,Washington State University,"Pullman, WA"
38,University of Connecticut,"Storrs, CT"
39,Duke University,"Durham, NC"
40,Hamilton College,"Clinton, NY"
41,University of California--Santa Cruz,"Santa Cruz, CA"
42,Virginia Military Institute,"Lexington, VA"
43,Massachusetts Maritime Academy,"Buzzards Bay, MA"
43,Bowdoin College,"Brunswick, ME"
45,University of North Carolina--Chapel Hill,"Chapel Hill, NC"
46,Davidson College,"Davidson, NC"
47,College of Saint Benedict,"Saint Joseph, MN"
48,Middlebury College,"Middlebury, VT"
49,Williams College,"Williamstown, MA"
50,University of Texas--Austin,"Austin, TX"
51,Purdue University--West Lafayette,"West Lafayette, IN"
52,Columbia University in the City of New York,"New York, NY"
52,St Mary's University,"San Antonio, TX"
54,University of Delaware,"Newark, DE"
54,Michigan State University,"East Lansing, MI"
56,University of Georgia,"Athens, GA"
56,University of Illinois--Chicago,"Chicago, IL"
58,University of Minnesota--Twin Cities,"Minneapolis, MN"
59,Colgate University,"Hamilton, NY"
60,University of North Carolina School of the Arts,"Winston-Salem, NC"
61,Bates College,"Lewiston, ME"
62,Maine Maritime Academy,"Castine, ME"
63,University of Wisconsin--Madison,"Madison, WI"
64,Cornell University,"Ithaca, NY"
65,Vassar College,"Poughkeepsie, NY"
65,College of the Holy Cross,"Worcester, MA"
67,DePauw University,"Greencastle, IN"
68,Wesleyan University,"Middletown, CT"
69,Lafayette College,"Easton, PA"
70,Northwestern University,"Evanston, IL"
71,Claremont McKenna College,"Claremont, CA"
72,Siena College,"Loudonville, NY"
72,Bentley University,"Waltham, MA"
74,Gustavus Adolphus College,"Saint Peter, MN"
75,Wheaton College,"Wheaton, IL"
75,Colby College,"Waterville, ME"
77,Indiana University--Bloomington,"Bloomington, IN"
78,Saint Vincent College,"Latrobe, PA"
79,Harvey Mudd College,"Claremont, CA"
79,University of Vermont,"Burlington, VT"
81,Johns Hopkins University,"Baltimore, MD"
82,Bethel University,"Saint Paul, MN"
83,University of Chicago,"Chicago, IL"
84,Georgetown University,"Washington, DC"
84,Molloy College,"Rockville Centre, NY"
86,Citadel Military College of South Carolina,"Charleston, SC"
87,Washington University in St Louis,"Saint Louis, MO"
87,Muhlenberg College,"Allentown, PA"
89,Tufts University,"Medford, MA"
90,Michigan Technological University,"Houghton, MI"
91,University of Texas--Dallas,"Richardson, TX"
92,University of California--Santa Barbara,"Santa Barbara, CA"
92,Wake Forest University,"Winston Salem, NC"
94,College of New Jersey,"Ewing, NJ"
95,Martin Luther College,"New Ulm, MN"
95,St. Lawrence University,"Canton, NY"
95,California State University-.Chico,"Chico, CA"
98,Union College-.Schenectady,"Schenectady, NY"
99,University of Rochester,"Rochester, NY"
100,Swarthmore College,"Swarthmore, PA"
100,McDaniel College,"Westminster, MD"
100,University of Wisconsin--Eau Claire,"Eau Claire, WI"
103,Lehigh University,"Bethlehem, PA"
104,Trinity College,"Hartford, CT"
105,"Rutgers, The State University of New Jersey--New Brunswick","New Brunswick, NJ"
106,California State University--Fresno,"Fresno, CA"
106,University of Utah,"Salt Lake City, UT"
108,Stevens Institute of Technology,"Hoboken, NJ"
109,University of New Hampshire--Durham,"Durham, NH"
109,Westfield State University,"Westfield, MA"
109,Babson College,"Wellesley, MA"
112,James Madison University,"Harrisonburg, VA"
113,Binghamton University--SUNY,"Vestal, NY"
114,University of Richmond,"University of Richmond, VA"
114,Western Washington University,"Bellingham, WA"
114,Lawrence University,"Appleton, WI"
114,Gettysburg College,"Gettysburg, PA"
114,Gonzaga University,"Spokane, WA"
119,Missouri University of Science and Technology,"Rolla, MO"
120,Elmhurst College,"Elmhurst, IL"
121,Wofford College,"Spartanburg, SC"
122,SUNY College--Brockport,"Brockport, NY"
123,Wabash College,"Crawfordsville, IN"
123,Berea College,"Berea, KY"
125,Manhattan College,"Riverdale, NY"
125,Stony Brook University--SUNY,"Stony Brook, NY"
125,Southern Nazarene University,"Bethany, OK"
128,North Carolina State University--Raleigh,"Raleigh, NC"
129,Juniata College,"Huntingdon, PA"
130,Ohio State University--Columbus,"Columbus, OH"
131,California Polytechnic State University--San Luis Obispo,"San Luis Obispo, CA"
132,Iowa State University,"Ames, IA"
132,St. Olaf College,"Northfield, MN"
134,Providence College,"Providence, RI"
