"RANK","NAME","COUNTRY","REGION"
"1","Harvard University","United States","North America"
"2","Massachusetts Institute of Technology","United States","North America"
"3","University of California--Berkeley","United States","North America"
"4","Stanford University","United States","North America"
"5","University of Oxford","United Kingdom","Europe"
"6","University of Cambridge","United Kingdom","Europe"
"7","California Institute of Technology","United States","North America"
"8","University of California--Los Angeles","United States","North America"
"9","University of Chicago","United States","North America"
"10","Columbia University","United States","North America"
"11","Johns Hopkins University","United States","North America"
"12","Imperial College London","United Kingdom","Europe"
"13","Princeton University","United States","North America"
"14","University of Michigan","United States","North America"
"14","University of Toronto","Canada","North America"
"14","University of Washington","United States","North America"
"17","Yale University","United States","North America"
"18","University of California--San Diego","United States","North America"
"19","University of Pennsylvania","United States","North America"
"20","Duke University","United States","North America"
"21","University College London","United Kingdom","Europe"
"22","University of California--San Francisco","United States","North America"
"23","Cornell University","United States","North America"
"24","University of Tokyo","Japan","Asia"
"25","Northwestern University","United States","North America"
"26","Swiss Federal Institute of Technology Zurich","Switzerland","Europe"
"27","University of Wisconsin--Madison","United States","North America"
"28","University of California--Santa Barbara","United States","North America"
"29","University of Minnesota--Twin Cities","United States","North America"
"30","University of British Columbia","Canada","North America"
"30","University of Texas--Austin","United States","North America"
"32","University of Melbourne","Australia","Australia/New Zealand"
"32","University of North Carolina--Chapel Hill","United States","North America"
"34","Ohio State University","United States","North America"
"35","University of Illinois Urbana-Champaign","United States","North America"
"36","New York University","United States","North America"
"37","Boston University","United States","North America"
"37","University of California--Davis","United States","North America"
"39","Peking University","China","Asia"
"40","University of Edinburgh","United Kingdom","Europe"
"41","Washington University","United States","North America"
"42","University of Hong Kong","Hong Kong","Asia"
"42","University of Pittsburgh","United States","North America"
"44","McGill University","Canada","North America"
"45","University of Sydney","Australia","Australia/New Zealand"
"46","Pierre and Marie Curie University - Paris 6","France","Europe"
"47","University of Queensland Australia","Australia","Australia/New Zealand"
"48","University of Munich","Germany","Europe"
"49","University of Manchester","United Kingdom","Europe"
"50","University of Southern California","United States","North America"
"51","University of Maryland--College Park","United States","North America"
"52","Pennsylvania State University","United States","North America"
"53","KU Leuven","Belgium","Europe"
"53","University of Florida","United States","North America"
"55","Karolinska Institute","Sweden","Europe"
"55","National University of Singapore","Singapore","Asia"
"55","Rutgers State University","United States","North America"
"58","University of Colorado--Boulder","United States","North America"
"59","Ruprecht Karl University Heidelberg","Germany","Europe"
"60","Kyoto University","Japan","Asia"
"61","Georgia Institute of Technology","United States","North America"
"61","King's College London","United Kingdom","Europe"
